15/jun/2016,SBI,209.75,217.55,208.55,216.05,48362700,216.05
16/Jun/2016,Ebay,23.94,23.96,23.47,23.85,9399200,23.85
16/Jun/2016,Facebook,113.87,114.5,112.94,114.39,19196100,114.39
16/Jun/2016,GLF,3.63,3.64,3.43,3.61,278600,3.61
16/Jun/2016,YesBank,1066,1067.35,1047.45,1060.55,2264500,1060.55
16/Jun/2016,TCS,2545.55,2564.7,2516.45,2558.3,572500,2558.3
16/Jun/2016,Ford,12.99,13.07,12.76,12.84,30379200,12.84
16/Jun/2016,Gail,376.5,383.6,375.05,382.35,2377500,382.35
16/Jun/2016,Maruti,4161,4166.45,4063.45,4084,125500,4049.72
16/Jun/2016,Volkswagen,128.5,128.5,125,127,1300,126.89
16/Jun/2016,Apollo,1320,1326.6,1303.05,1307.6,263600,1307.6
16/Jun/2016,RelianceCom,47.95,48,46.4,46.75,19201100,46.75
16/jun/2016,Apple,96.45,97.75,96.07,97.55,31236300,97.55
16/jun/2016,Honda,25.78,26.1,25.68,25.96,1827200,25.96
16/jun/2016,Int,1509,1509,1478,1494.2,1631300,1494.2
16/jun/2016,SBI,216,218.5,213.05,216,48122300,216
17/Jun/2016,Ebay,23.74,23.89,23.59,23.79,13176600,23.79
17/Jun/2016,Facebook,114.42,114.43,112.56,113.02,24383100,113.02
17/Jun/2016,GLF,3.61,4.17,3.61,3.97,631800,3.97
17/Jun/2016,YesBank,1065,1075,1060,1070.85,2108300,1070.85
17/Jun/2016,TCS,2559,2610,2559,2602.6,939400,2602.6
17/Jun/2016,Ford,12.91,13.16,12.88,13.01,25495900,13.01
17/Jun/2016,Gail,385.5,388.1,383.5,387.25,2306700,387.25
17/Jun/2016,Maruti,4124,4156,4093.7,4109.9,56500,4075.41
17/Jun/2016,Volkswagen,125.65,129.7,125.65,129.7,1100,129.59
17/Jun/2016,Apollo,1319,1320.2,1290,1294.95,335600,1294.95
17/Jun/2016,RelianceCom,47.25,47.7,46.5,47.2,15618200,47.2
17/jun/2016,Apple,96.62,96.65,95.3,95.33,60595000,95.33
17/jun/2016,Honda,25.96,26.09,25.81,25.95,1047700,25.95
17/jun/2016,Int,1494.5,1502.85,1472.9,1480.25,1769200,1480.25
17/jun/2016,SBI,216.75,217.5,211.6,213.45,26486600,213.45
20/Jun/2016,Ebay,24.34,24.87,24.26,24.57,13811900,24.57
20/Jun/2016,Facebook,113.77,114.72,112.75,113.37,20674700,113.37
20/Jun/2016,GLF,4.09,4.23,3.77,3.79,470400,3.79
20/Jun/2016,YesBank,1057.95,1079,1055.35,1075.25,1506600,1075.25
20/Jun/2016,TCS,2602.6,2668,2591.8,2659.3,936400,2659.3
20/Jun/2016,Ford,12.93,13.14,12.85,13.12,26540600,13.12
20/Jun/2016,Gail,387.25,391.35,383.35,386.05,1305500,386.05
20/Jun/2016,Maruti,4078,4144.8,4065.7,4134.15,46100,4099.45
20/Jun/2016,Volkswagen,133.4,135.8,133.4,135.4,2500,135.29
20/Jun/2016,Apollo,1280,1305,1280,1300.05,120600,1300.05
20/Jun/2016,RelianceCom,46.7,49.1,46.6,48.7,26033700,48.7
20/jun/2016,Apple,96.1,96.57,95.03,95.1,33942300,95.1
20/jun/2016,Honda,26.45,26.54,26.25,26.27,707200,26.27
20/jun/2016,Int,1463.4,1510,1460.3,1507.05,1983500,1507.05
20/jun/2016,SBI,208,216.7,207.9,215.9,32633700,215.9
21/Jun/2016,Ebay,24.54,24.77,24.45,24.7,7862300,24.7
21/Jun/2016,Facebook,114.12,115.21,113.97,114.38,18990000,114.38
21/Jun/2016,GLF,3.72,3.79,3.51,3.56,535500,3.56
21/Jun/2016,YesBank,1078.05,1080,1066.35,1071.4,1517700,1071.4
21/Jun/2016,TCS,2663.5,2665,2641.4,2651.2,513800,2651.2
21/Jun/2016,Ford,13.16,13.4,13.15,13.26,37099500,13.26
21/Jun/2016,Gail,389,392.1,377.1,382.55,1702200,382.55
21/Jun/2016,Maruti,4142.3,4167.9,4111,4157.9,36300,4123
21/Jun/2016,Volkswagen,135.4,135.4,131.63,132.5,1900,132.39
21/Jun/2016,Apollo,1309,1317.85,1303,1307.2,114600,1307.2
21/Jun/2016,RelianceCom,48.7,49.8,48.25,48.45,26595700,48.45
